takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Roel Gate,XClent,51.91705,-1.924425,XClent
Rough Knowe,LLSC,55.522009999999995,-2.99485,LLSC
Rushup,Derbyshire,53.34732,-1.82382,Derbyshire
Rutland Airsports,Rutland,52.630445,-0.605775,Rutland
Rybury,Grupa 303,51.37278,-1.88167,Grupa 303
Saddle Yoke,LLSC,55.38602,-3.34808,LLSC
Sandymouth,South Devon,50.85997,-4.55508,South Devon
Sarn,Long Mynd,52.50295,-3.14252,Long Mynd
Scales Fell,Cumbria,54.63858,-3.0256499999999997,Cumbria
Schiehallion,SMPC,56.666075,-4.076359999999999,SMPC
Seat Sandal,Cumbria,54.49046,-3.03585,Cumbria
Selsley,Avon,51.72742,-2.25043,Avon
Semer Water,Dales,54.288560000000004,-2.13954,Dales
Seven Sisters,SW Wales,51.7471,-3.70062,SW Wales
Sgor Gaoithe,Highland,57.27755,-3.53576,Highland
Sgurr An Airgid,Highland,57.237705,-5.39644,Highland
Sgurr An Fhuarail,Highland,57.16208,-5.201,Highland
Sgurr Finniosgaig,SMPC,56.842225,-4.971064999999999,SMPC
Sgurr Na Feartaig,Highland,57.467725,-5.246675,Highland
Sharpenhoe,Dunstable,51.9582,-0.44589,Dunstable
Shining Tor,Derbyshire,53.258625,-2.01091,Derbyshire
Simon Fell,Dales,54.16994,-2.369575,Dales
Skiddaw,Cumbria,54.63947,-3.13732,Cumbria
Skirrid,SE Wales,51.8549,-2.97482,SE Wales
Slaggyford,Northumbria,54.850975000000005,-2.515355,Northumbria
Slieve Gallion,Ulster,54.74684499999999,-6.73405,Ulster
Sma Glen,SMPC,56.46551,-3.81529,SMPC
Snowdon,Snowdonia,53.074725,-4.071575,Snowdonia
Sourton,South Devon,50.69002,-4.06627,South Devon
South Cerney,XClent,51.68687,-1.92145,XClent
Southbourne,Isle of Wight,50.7215,-1.8166,Isle of Wight
Souther Fell,Cumbria,54.652675,-2.998565,Cumbria
Sow Of Athol,SMPC,56.83914,-4.255375,SMPC
Sron A Gharbh Choire Bhig,SMPC,56.688050000000004,-5.39589,SMPC
St Bees,Cumbria,54.512705,-3.63922,Cumbria
St Cats,Isle of Wight,50.5964,-1.30578,Isle of Wight
St. Aldhelms,Wessex,50.59287,-2.05952,Wessex
St. Bees,Cumbria,54.489875,-3.61055,Cumbria
Stags Fell,Dales,54.3266,-2.19745,Dales
Stanage,Derbyshire,53.34632,-1.63178,Derbyshire
Standon Hill,South Devon,50.612875,-4.04571,South Devon
Stoodley Pike,Pennine,53.71378,-2.04317,Pennine
Strath Rusdale,Highland,57.768515,-4.37814,Highland
Strathyre,SMPC,56.3259,-4.29433,SMPC
Stronend,LLSC,56.077110000000005,-4.20669,LLSC
Struddick,South Devon,50.366,-4.40427,South Devon
Sugar Hill,Thames Valley,51.50662,-1.65892,Thames Valley
Sugar Loaf,SE Wales,51.84308,-3.05893,SE Wales
Suidhe Fhearghas,LLSC,55.660675,-5.19681,LLSC
Swallowcliffe,Wessex,51.03013,-2.03677,Wessex
Swarth Fell,Dales,54.36477,-2.37548,Dales
Swindale,Cumbria,54.544775,-3.0296950000000002,Cumbria
Swinside,Cumbria,54.608059999999995,-3.281725,Cumbria
Tailbridge,Dales,54.438585,-2.3042249999999997,Dales
Talybont,SW Wales,51.864189999999994,-3.35693,SW Wales
Tarmachan,SMPC,56.51268,-4.292434999999999,SMPC
Telegraph Hill,Wessex,50.84407,-2.5102,Wessex
Threlkeld Knotts,Cumbria,54.59718,-3.04247,Cumbria
Thundergay,SMPC,55.656580000000005,-5.3462,SMPC
Thurnham,Dover,51.294709999999995,0.588415,Dover
Tinto,LLSC,55.59112,-3.701085,LLSC
Tinto East,LLSC,55.60432,-3.65757,LLSC
Toad Scar,Dales,54.1746,-2.480905,Dales
Tops Of Fichell,Aberdeen,56.79968,-3.01902,Aberdeen
Treak Cliff,Derbyshire,53.34285,-1.79862,Derbyshire
Tremmaen,Joint Services,52.163375,-3.3408350000000002,Joint Services
Trentishoe,North Devon,51.21494,-3.96708,North Devon
Tresparret,South Devon,50.71204,-4.65161,South Devon
Triscombe,Condors,51.10595,-3.19767,Condors
Troutbeck,Cumbria,54.420885,-2.887085,Cumbria
Tudhope Hill,Northumbria,55.280345,-2.895935,Northumbria
Ubley,Gap,51.31175,-2.67549,Gap
Uffington,Thames Valley,51.57718,-1.567135,Thames Valley
Ullock,Cumbria,54.66175,-3.17945,Cumbria
Unknown,SE Wales,51.80427,-2.99565,SE Wales
Walla,Cumbria,54.58312,-3.1189150000000003,Cumbria
Warren,Dover,51.1016,1.22615,Dover
Wasdale Screes,Cumbria,54.417075,-3.3166399999999996,Cumbria
West Lomand,LLSC,56.24695,-3.30207,LLSC
Westbury,Gap,51.2626,-2.14746,Gap
Westward Ho!,North Devon,51.035975,-4.25735,North Devon
Wether Fell,Dales,54.27013,-2.20558,Dales
Weybourne,Rutland,52.948605,1.14494,Rutland
Whernside,Dales,54.207335,-2.41976,Dales
White Corries,SMPC,56.62787,-4.84022,SMPC
White Horse,Condors,50.6586,-2.40473,Condors
White Mountain,Ulster,54.86322,-6.85285,Ulster
White Pike,Cumbria,54.47383,-3.090985,Cumbria
Whiteless Pike,Cumbria,54.55924,-3.27151,Cumbria
Whitesheet,Wessex,51.01293,-2.09212,Wessex
Whiteside,Cumbria,54.5864,-3.2869099999999998,Cumbria
Whitestones,Dales,54.3809,-2.56474,Dales
Whitewool,Sky Surfing,50.97898,-1.075675,Sky Surfing
Widgery Cross,South Devon,50.65193,-4.06855,South Devon
Windbank,Dales,54.129239999999996,-2.05327,Dales
Winter Hill,Pennine,53.62974,-2.5135449999999997,Pennine
Wolf Crags,Cumbria,54.5922,-2.986195,Cumbria
Woolacombe,North Devon,51.15888,-4.20607,North Devon
Worcester Beacon,Malvern,52.10445,-2.3394,Malvern
Wrekin,Long Mynd,52.66943,-2.55195,Long Mynd
Wrynose,Cumbria,54.41832,-3.1118,Cumbria
Xclent,XClent,51.914550000000006,-1.92412,XClent
Yoke,Cumbria,54.450355,-2.86792,Cumbria
