device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
F,07231E,Paraglider,ParaAir,,Y,Y,6
O,072537,WT9 Dynamic,OKKUU61,U61,Y,Y,3
O,072921,Blanik,OK-0202,L23,Y,Y,1
O,072F7C,Paraglider,FB2,,Y,Y,6
F,073497,Ka-7,HA-5076,P01,Y,Y,1
F,07364C,SZD-36 Cobra 15,SoftRF2,02,Y,Y,1
O,073738,A380,PK22,,Y,Y,1
F,07378D,Ka-7,PH-958,P02,Y,Y,1
F,0737B7,SZD-41 Jantar Std,HA-4484,MA,Y,Y,1
O,073B55,SZD-9 Bocian,LY-GQZ,QZ,Y,Y,1
O,07411F,Ultralight,LY-XMF,,Y,Y,3
O,0742E2,Paraglider,,,Y,Y,6
O,074308,Paraglider,SZ520,,Y,Y,6
O,074348,Paraglider,074348,,Y,Y,6
O,074374,Paraglider,FA431,LCS,Y,Y,6
O,074812,LS-1 f,CUBE3,IBI,Y,Y,1
O,0749AF,Paraglider,Lexrobe,312,Y,Y,6
O,0749B8,Paraglider,RL69,662,Y,Y,6
O,074AD4,Paraglider,OE-66P1,214,Y,Y,6
F,074DD0,Paraglider,Leo-Osk,,Y,Y,6
F,074F25,Paraglider,KZO 2,CC2,Y,Y,6
O,074F3D,VSO-10,OK-2500,F8,Y,Y,1
F,075090,Paraglider,FDA1,,Y,Y,6
F,075A6F,Paraglider,,,Y,Y,6
O,075A80,Paraglider,PG,JPP,Y,Y,6
O,07617D,Cessna 152,HA-SKV,HKV,Y,Y,2
F,076CBF,Paraglider,PAir-2,,Y,Y,6
F,076D20,Paraglider,Lukas,,Y,Y,6
O,076F63,Different Aircraft,C-MSC1,MS1,Y,Y,1
O,078879,Paraglider,,,Y,Y,6
O,078A88,HangGlider,CONRADO,C02,Y,Y,6
O,078AC4,HangGlider,CAMILOP,CP1,Y,Y,6
O,078E84,Paraglider,,,Y,Y,6
O,079204,HangGlider,A-MGJ,162,Y,Y,6
F,07A650,Paraglider,46456,,Y,Y,6
F,07A7AC,Paraglider,Evgeny,385,Y,Y,6
O,07AD38,Paraglider,07AD38,,Y,Y,6
O,07B51C,Unknown,,,Y,Y,6
F,07D150,Paraglider,Hooner3,UNI,Y,Y,6
O,07D4B8,HangGlider,DANIEL,DVB,Y,Y,6
O,07D952,Unknown,,Tt1,Y,Y,6
F,07E6CC,Paraglider,,193,Y,Y,6
F,0800B0,Sinus,0800B0,VC,Y,Y,1
O,08011C,Paraglider,ThomasE,TE,Y,Y,6
F,080638,Paraglider,PPG1,,Y,Y,6
O,080798,Paraglider,,,Y,Y,6
O,080894,Paraglider,,,Y,Y,6
O,080950,Paraglider,ThomasM,TM,Y,Y,6
F,080F34,Paraglider,RICHC,RJC,Y,Y,6
O,081599,Paraglider,Para,999,Y,Y,6
O,0823D8,Ground Station,Marlens,_b6,Y,Y,6
O,082704,VSO-10,OM-8512,82,Y,Y,1
F,0828D4,,,,N,N,6
O,082AE9,SF-27,HA4352,,Y,Y,1
O,082AF4,HangGlider,mario,999,Y,Y,6
F,082E5C,Paraglider,D-NEME,MW,Y,Y,6
F,082F64,Paraglider,,,Y,Y,6
F,08320C,Paraglider,YWA,YWA,Y,Y,6
O,083414,Paraglider,,,Y,Y,6
O,083580,Paraglider,jd0109,,Y,Y,6
O,083729,A380,PK27,,Y,Y,1
F,08386C,Paraglider,JohanT,JT,Y,Y,6
O,083DB0,Paraglider,D-MPHJ,3b2,Y,Y,6
O,084431,ASW-15,OK-5331,HH,Y,Y,1
F,0845BC,Paraglider,LucyGxO,023,Y,Y,6
O,084DA0,Paraglider,,,Y,Y,6
F,08525C,Paraglider,GxAir00,000,Y,Y,6
F,0853E0,Paraglider,GANDALF,GAN,Y,Y,6
F,085744,Paraglider,TzGxSD,001,Y,Y,6
F,0862E8,Ground Station,AIRWST,AIR,Y,Y,6
F,0866C4,Paraglider,,,Y,Y,6
O,086CF0,Paraglider,PMS_1,PPG,Y,Y,6
F,086EE4,Paraglider,,VN,Y,Y,6
O,0871E0,Ground Station,MobGS,001,Y,Y,6
O,087955,L-Spatz 55,D-8404,,Y,Y,1
F,087AF8,Paraglider,TenzGxE,081,Y,Y,6
F,087D4C,Paraglider,PIPO,053,Y,Y,6
O,088851,Paraglider,,,Y,Y,6
O,0889DC,Paraglider,,,Y,Y,6
O,089144,Paraglider,GX1,GX1,Y,Y,6
F,0893B5,Paraglider,TS42,,Y,Y,6
F,089D70,Paraglider,PPG2,,Y,Y,6
O,089F01,Paraglider,SkizzoK,SKZ,Y,Y,6
O,08A1D8,Paraglider,,,Y,Y,6
F,08A434,Paraglider,STM1,1,Y,Y,6
F,08A62D,Paraglider,Jarda,1,Y,Y,6
F,08A689,Ground Station,Bus_van,1,Y,Y,6
F,08A904,Paraglider,GEO 5MS,,Y,Y,6
O,08AFA8,Paraglider,GerEic,GE1,Y,Y,6
F,08B53C,Paraglider,SimonF,1,Y,Y,6
F,08B5F4,Paraglider,Yellow,1,Y,Y,6
F,08B8A8,Paraglider,Hugh,1,Y,Y,6
F,08BC74,Paraglider,Markus,,Y,Y,6
F,08BE38,Paraglider,Blue,1,Y,Y,6
O,08C14C,Drone/UAV,GXDR1,GXD,Y,Y,5
F,08C1CC,Paraglider,Indy_fd,1,Y,Y,6
F,08C39C,Paraglider,Perky,,Y,Y,6
O,08C3CC,Paraglider,GX2,GX2,Y,Y,6
F,08C3F8,Paraglider,GxSpare,1,Y,Y,6
F,08C414,Paraglider,41806,,Y,Y,6
F,08C520,Paraglider,,RK,Y,Y,6
O,08C5BB,Nimbus 2,OK-2783,PM,Y,Y,1
O,08C6E9,Rubik R-26 Gobe,HA5543,,Y,Y,1
O,08C701,SZD-36 Cobra 15,HA 4316,,Y,Y,1
O,08C844,Paraglider,MJ,,Y,Y,6
O,08C911,Ka-7,HA5043,,Y,Y,1
F,08CC7C,Paraglider,TenzGx3,081,Y,Y,6
F,08CD24,Paraglider,Hantz D,,Y,Y,6
F,08CE10,Paraglider,AIRSHOP,ASW,Y,Y,6
F,08D2D4,Paraglider,STM2,1,Y,Y,6
F,08D3BC,Paraglider,Bef,Bef,Y,Y,6
O,08D403,VSO-10,OM-4509,,Y,Y,1
O,08D428,Paraglider,AS157,AA4,Y,Y,6
O,08E1B4,Ground Station,EurCiel,,Y,Y,6
O,08E2A4,Paraglider,SLE,SLE,Y,Y,6
O,08E4D8,Paraglider,,_b6,Y,Y,6
F,08E544,Paraglider,AIRSHOP,ASH,Y,Y,6
O,08E6B8,Paraglider,Lorenz,,Y,Y,6
O,08E844,Paraglider,,JF2,Y,Y,6
O,08ECB0,Paraglider,D-MKIX,PPG,Y,Y,6
O,08ED1C,Paraglider,,,Y,Y,6
O,08F1E8,Paraglider,,,Y,Y,6
F,08FA54,Paraglider,Volker,,Y,Y,6
O,090929,VSO-10,OK-1514,E8,Y,Y,1
O,092624,A380,PK21,,Y,Y,1
O,0929E1,Zlin 142,OM-NNQ,NNQ,Y,Y,2
O,093815,Blanik,OK 9851,,Y,Y,1
O,094054,Janus C,GGP7,GG7,Y,Y,1
F,09F3EE,ASG-29E,VH-OXC,,Y,Y,1
O,0A0047,Paraglider,8525,UWE,Y,Y,6
O,0A1415,Paraglider,000,000,Y,Y,6
O,0A2146,Paraglider,BC-048,,Y,Y,6
O,0A2CA1,Paraglider,XXX,,Y,Y,6
O,0A3210,L 13 SEH Vivat,OM-6107,07,Y,Y,1
O,0A62B1,Paraglider,4967,,Y,Y,6
F,0A6528,Paraglider,cmg666,,Y,Y,6
F,0A6830,Paraglider,37641,,Y,Y,6
O,0A6855,Paraglider,Ms-440,,Y,Y,6
